cocktail,ndrugs,dose,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,response,rlog
9,1,5,0,0,0,0,0,0,0,0,1,0,0.362794117647059,-1.01391977463484
9,1,6,0,0,0,0,0,0,0,0,1,0,0.306882352941176,-1.18129082001596
9,1,7,0,0,0,0,0,0,0,0,1,0,0.263382352941177,-1.33414848910349
9,1,8,0,0,0,0,0,0,0,0,1,0,0.183676470588235,-1.69457938103862
9,1,9,0,0,0,0,0,0,0,0,1,0,0.147617647058824,-1.91312981394336
9,1,10,0,0,0,0,0,0,0,0,1,0,0.084970588235294,-2.46545010313206
9,1,11,0,0,0,0,0,0,0,0,1,0,0.078058823529412,-2.55029258870615
9,1,12,0,0,0,0,0,0,0,0,1,0,0.054,-2.91877123241786
9,1,13,0,0,0,0,0,0,0,0,1,0,0.08509375,-2.4640016891081
5,1,1,0,0,0,0,1,0,0,0,0,0,0.914133333333333,-0.089778839246786
5,1,2,0,0,0,0,1,0,0,0,0,0,0.89,-0.116533816255952
5,1,3,0,0,0,0,1,0,0,0,0,0,0.7493,-0.288615841611872
5,1,4,0,0,0,0,1,0,0,0,0,0,0.638133333333333,-0.449208031056083
5,1,5,0,0,0,0,1,0,0,0,0,0,0.5449,-0.607152987393084
5,1,6,0,0,0,0,1,0,0,0,0,0,0.4623,-0.771541247987957
5,1,7,0,0,0,0,1,0,0,0,0,0,0.376566666666667,-0.976660177917364
5,1,8,0,0,0,0,1,0,0,0,0,0,0.3173,-1.14790758039299
5,1,9,0,0,0,0,1,0,0,0,0,0,0.2735,-1.2964536571201
5,1,10,0,0,0,0,1,0,0,0,0,0,0.193766666666667,-1.64110059294294
5,1,11,0,0,0,0,1,0,0,0,0,0,0.159833333333333,-1.83362367332675
5,1,12,0,0,0,0,1,0,0,0,0,0,0.132571428571429,-2.02063369525125
5,1,13,0,0,0,0,1,0,0,0,0,0,0.126071428571429,-2.07090663923
1+10,2,1,1,0,0,0,0,0,0,0,0,1,0.805428571428571,-0.216380756363393
1+10,2,2,1,0,0,0,0,0,0,0,0,1,0.713428571428571,-0.337672957197732
1+10,2,3,1,0,0,0,0,0,0,0,0,1,0.536,-0.623621117911335
1+10,2,4,1,0,0,0,0,0,0,0,0,1,0.415571428571429,-0.878100769542249
1+10,2,5,1,0,0,0,0,0,0,0,0,1,0.348142857142857,-1.05514237441224
1+10,2,6,1,0,0,0,0,0,0,0,0,1,0.290714285714286,-1.23541433016076
1+10,2,7,1,0,0,0,0,0,0,0,0,1,0.262142857142857,-1.33886566754878
1+10,2,8,1,0,0,0,0,0,0,0,0,1,0.201285714285714,-1.60302991613877
1+10,2,9,1,0,0,0,0,0,0,0,0,1,0.166285714285714,-1.79404779974607
1+10,2,10,1,0,0,0,0,0,0,0,0,1,0.128714285714286,-2.05016017042911
1+10,2,11,1,0,0,0,0,0,0,0,0,1,0.102857142857143,-2.27441421602735
1+10,2,12,1,0,0,0,0,0,0,0,0,1,0.135714285714286,-1.99720344344286
1+10,2,13,1,0,0,0,0,0,0,0,0,1,0.119285714285714,-2.12623370318659
1+2,2,1,1,1,0,0,0,0,0,0,0,0,0.564,-0.572701027484078
1+2,2,2,1,1,0,0,0,0,0,0,0,0,0.487285714285714,-0.718904645618805
1+2,2,3,1,1,0,0,0,0,0,0,0,0,0.388714285714286,-0.944910689254204
1+2,2,4,1,1,0,0,0,0,0,0,0,0,0.303,-1.19402247347277
1+2,2,5,1,1,0,0,0,0,0,0,0,0,0.241857142857143,-1.41940804590432
1+2,2,6,1,1,0,0,0,0,0,0,0,0,0.189,-1.66600826392249
1+2,2,7,1,1,0,0,0,0,0,0,0,0,0.161857142857143,-1.82104116700944
1+2,2,8,1,1,0,0,0,0,0,0,0,0,0.158285714285714,-1.84335356073022
1+2,2,9,1,1,0,0,0,0,0,0,0,0,0.134428571428571,-2.00672228845207
1+2,2,10,1,1,0,0,0,0,0,0,0,0,0.138285714285714,-1.97843334076087
1+2,2,11,1,1,0,0,0,0,0,0,0,0,0.138571428571429,-1.97636935654002
1+2,2,12,1,1,0,0,0,0,0,0,0,0,0.113285714285714,-2.1778422064026
1+2,2,13,1,1,0,0,0,0,0,0,0,0,0.102857142857143,-2.27441421602735
1+3,2,1,1,0,1,0,0,0,0,0,0,0,0.8807,-0.127038233170723
1+3,2,2,1,0,1,0,0,0,0,0,0,0,0.7192,-0.329615795824726
1+3,2,3,1,0,1,0,0,0,0,0,0,0,0.5024,-0.688358663828148
1+3,2,4,1,0,1,0,0,0,0,0,0,0,0.3179,-1.14601841106538
1+3,2,5,1,0,1,0,0,0,0,0,0,0,0.2483,-1.39311758646802
1+3,2,6,1,0,1,0,0,0,0,0,0,0,0.1982,-1.61847865708625
1+3,2,7,1,0,1,0,0,0,0,0,0,0,0.141,-1.95899538860397
1+3,2,8,1,0,1,0,0,0,0,0,0,0,0.1112,-2.19642489716565
1+3,2,9,1,0,1,0,0,0,0,0,0,0,0.0979,-2.32380872944567
1+3,2,10,1,0,1,0,0,0,0,0,0,0,0.0791,-2.53704240420853
